nct_id_i,nct_id_j,similarity
NCT03059992,NCT03059992,1.0000000000000007
NCT03059992,NCT03257033,0.6488274474797222
NCT03059992,NCT03363841,0.7404068624580508
NCT03059992,NCT03417102,0.6327590470372504
NCT03059992,NCT03425279,0.6958658632603424
NCT03059992,NCT03464019,0.5776615260416587
NCT03059992,NCT03504488,0.6441314312909311
NCT03059992,NCT04003467,0.5780117452482393
NCT03059992,NCT04153149,0.7341396221493248
NCT03059992,NCT04163185,0.6808672348774322
NCT03059992,NCT04180488,0.7736983133314935
NCT03059992,NCT04524273,0.7654154339539154
NCT03059992,NCT04544293,0.5948093902132617
NCT03059992,NCT05059223,0.7346386837146703
NCT03059992,NCT05085366,0.692205914969108
NCT03059992,NCT05109091,0.5721013015895611
NCT03059992,NCT05208944,0.5721822844298126
NCT03059992,NCT05291091,0.6387917754472001
NCT03059992,NCT05357950,0.74200874161857
NCT03059992,NCT05481879,0.7100959121530023
NCT03059992,NCT05693142,0.6741353824905427
NCT03059992,NCT05696717,0.6250725767121245
NCT03059992,NCT05731544,0.6367961882255424
NCT03059992,NCT06079736,0.7120089246199611
NCT03059992,NCT06185673,0.6026413113374759
NCT03059992,NCT06204809,0.6444449512979149
NCT03059992,NCT06255782,0.6388918242860597
NCT03059992,NCT06377930,0.6501965251505254
NCT03059992,NCT06601192,0.6139992378334496
NCT03059992,NCT06663137,0.7539290754994001
NCT03059992,NCT06736509,0.7306297088890062
NCT03059992,NCT05579249,0.5749519756170604
NCT03059992,NCT06034275,0.5668913830816631
NCT03059992,NCT05065411,0.58546677983568
NCT03059992,NCT05424276,0.678528172563731
NCT03059992,NCT04887298,0.6694300081819989
NCT03059992,NCT04073498,0.6770630126547516
NCT03059992,NCT03959527,0.8317082003759341
NCT03059992,NCT04469595,0.7269513517592097
NCT03059992,NCT04370054,0.5966536871520549
NCT03257033,NCT03059992,0.6488274474797222
NCT03257033,NCT03257033,1.0000000000000002
NCT03257033,NCT03363841,0.6990298194506628
NCT03257033,NCT03417102,0.6815192765313348
NCT03257033,NCT03425279,0.9266690432585025
NCT03257033,NCT03464019,0.7062899424431642
NCT03257033,NCT03504488,0.9357751883512194
NCT03257033,NCT04003467,0.5559822984137004
NCT03257033,NCT04153149,0.6641225817838929
NCT03257033,NCT04163185,0.7254697132568602
NCT03257033,NCT04180488,0.8015365008313161
NCT03257033,NCT04524273,0.7542854055777675
NCT03257033,NCT04544293,0.59741132615494
NCT03257033,NCT05059223,0.7196895731303876
NCT03257033,NCT05085366,0.7788126909087112
NCT03257033,NCT05109091,0.7593883018818941
NCT03257033,NCT05208944,0.7243826685642045
NCT03257033,NCT05291091,0.6995228027691659
NCT03257033,NCT05357950,0.6618720819833992
NCT03257033,NCT05481879,0.6820728942587401
NCT03257033,NCT05693142,0.6096322662411746
NCT03257033,NCT05696717,0.6889578547966596
NCT03257033,NCT05731544,0.6876382052899912
NCT03257033,NCT06079736,0.5785670211879178
